Trans. Date,Post Date,Description,Amount,Category
1/28/2020,1/28/2020,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-0.56,Awards and Rebate Credits
1/28/2020,1/28/2020,INTERNET PAYMENT - THANK YOU,-19.71,Payments and Credits
2/2/2020,2/2/2020,REI #56 PARADISE VAL PHOENIX AZ0467010560241418,141.18,Merchandise
2/14/2020,2/14/2020,INTERNET PAYMENT - THANK YOU,-141.18,Payments and Credits
2/20/2020,2/20/2020,BEST BUY 00002535295 PHOENIX AZ,65.15,Merchandise
2/26/2020,2/26/2020,INTERNET PAYMENT - THANK YOU,-65.15,Payments and Credits
3/2/2020,3/2/2020,OVER THE EDGE SEDONA SENONA AZ,69.18,Merchandise
3/13/2020,3/13/2020,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-2.06,Awards and Rebate Credits
3/13/2020,3/13/2020,INTERNET PAYMENT - THANK YOU,-67.12,Payments and Credits
6/23/2020,6/23/2020,STEAMGAMES.COM BELLEVUE WA,63.02,Merchandise
6/29/2020,6/29/2020,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-1.32,Awards and Rebate Credits
6/29/2020,6/29/2020,INTERNET PAYMENT - THANK YOU,-61.7,Payments and Credits
8/7/2020,8/7/2020,AVIS RENT-A-CAR SALT LAKE CITUT,317.12,Travel/ Entertainment
8/10/2020,8/10/2020,INTERNET PAYMENT - THANK YOU,-317.12,Payments and Credits
10/6/2020,10/6/2020,LIVING SPACES E COMMERCE LA MIRADA CA,753.68,Merchandise
10/12/2020,10/12/2020,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-3.17,Awards and Rebate Credits
10/12/2020,10/12/2020,INTERNET PAYMENT - THANK YOU,-750.51,Payments and Credits
11/1/2020,11/1/2020,AUTONOMOUS INC. - NY,507.28,Merchandise
11/19/2020,11/19/2020,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-7.54,Awards and Rebate Credits
11/19/2020,11/19/2020,INTERNET PAYMENT - THANK YOU,-292.46,Payments and Credits
11/19/2020,11/19/2020,INTERNET PAYMENT - THANK YOU,-207.28,Payments and Credits
11/28/2020,11/28/2020,CVS/PHARMACY #10529 SCOTTSDALE AZ,192.98,Merchandise
12/4/2020,12/4/2020,INTERNET PAYMENT - THANK YOU,-192.98,Payments and Credits
12/12/2020,12/12/2020,EPC*EPIC GAMES STORE 919-854-0070 NCA2012122123479799,59.99,Merchandise
12/24/2020,12/24/2020,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-5.07,Awards and Rebate Credits
12/24/2020,12/24/2020,INTERNET PAYMENT - THANK YOU,-54.92,Payments and Credits
1/28/2021,1/28/2021,COSTCO ONLINE RX 800-955-2292 WA00847347359825,455.84,Merchandise
1/30/2021,1/30/2021,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-2.53,Awards and Rebate Credits
1/30/2021,1/30/2021,INTERNET PAYMENT - THANK YOU,-453.31,Payments and Credits
